Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,53.0,322.0,1707,478,Outlet
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,40.0,322.0,1288,425,Outlet
Sports Direct,1197831,2021-09-18,South,Texas,Dallas,Women's Street Footwear,33.0,322.0,1063,446,Outlet
Sports Direct,1197831,2021-04-17,South,Tennessee,Knoxville,Women's Street Footwear,30.0,322.0,966,483,Outlet
Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,31.0,322.0,998,559,Outlet
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Street Footwear,25.0,320.0,8000,3200,Online
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,36.0,320.0,1152,403,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,44.0,320.0,1408,408,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,59.0,319.0,1882,1129,Online
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,37.0,319.0,1180,531,Online
Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,43.0,319.0,1372,782,Online
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,41.0,318.0,1304,482,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,54.0,317.0,1712,1096,Online
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,39.0,315.0,1229,405,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,35.0,315.0,1103,397,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,35.0,315.0,1103,364,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,28.0,315.0,882,335,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,36.0,315.0,1134,442,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,44.0,315.0,1386,513,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,24.0,315.0,756,295,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,36.0,315.0,1134,431,Outlet
Kohl's,1189833,2021-05-25,West,California,Los Angeles,Men's Street Footwear,39.0,315.0,1229,565,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,27.0,314.0,848,348,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,37.0,314.0,1162,430,Outlet
Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,39.0,314.0,1225,576,Outlet
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,46.0,313.0,1440,893,Online
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,55.0,313.0,1722,1050,Online
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,62.0,312.0,1934,1238,Online
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,38.0,312.0,1186,700,Online
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,40.0,312.0,1248,449,Outlet
Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Street Footwear,63.0,311.0,1959,1156,Online
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,43.0,310.0,1333,467,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,53.0,308.0,1632,669,Online
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.0,308.0,1879,996,Online
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,43.0,306.0,1316,487,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,43.0,306.0,1316,461,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34.0,306.0,1040,406,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,41.0,306.0,1255,502,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,20.0,306.0,612,257,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,23.0,306.0,704,260,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,29.0,306.0,887,364,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,31.0,306.0,949,379,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,41.0,306.0,1255,690,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,60.0,306.0,1836,477,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,46.0,306.0,1408,282,Outlet
Kohl's,1189833,2021-05-01,West,California,Los Angeles,Men's Street Footwear,36.0,306.0,1102,496,Outlet
Sports Direct,1197831,2021-04-14,South,Tennessee,Knoxville,Women's Apparel,37.0,306.0,1132,668,Outlet
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Street Footwear,62.0,306.0,1897,816,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,64.0,305.0,1952,761,Online
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,27.0,305.0,824,305,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,33.0,305.0,1007,382,Outlet
Foot Locker,1197831,2021-08-08,West,Idaho,Boise,Women's Street Footwear,39.0,305.0,1190,511,Outlet
West Gear,1185732,2020-09-17,Southeast,Florida,Miami,Men's Street Footwear,60.0,304.0,1824,1040,Online
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,36.0,302.0,1087,565,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,45.0,302.0,1359,544,Outlet
Sports Direct,1197831,2021-04-01,South,Tennessee,Knoxville,Men's Apparel,30.0,300.0,9000,3150,Outlet
Sports Direct,1197831,2021-09-28,South,Alabama,Birmingham,Men's Apparel,30.0,300.0,9000,4050,Outlet
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Women's Street Footwear,30.0,300.0,9000,3150,In-store
Foot Locker,1185732,2021-09-19,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,300.0,4500,1575,In-store
West Gear,1185732,2021-02-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,300.0,6000,2400,In-store
West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,300.0,6000,2100,In-store
Amazon,1185732,2021-01-22,Midwest,Ohio,Columbus,Women's Street Footwear,30.0,300.0,9000,3600,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300.0,6000,2400,Online
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300.0,6000,2400,Online
Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Men's Athletic Footwear,25.0,300.0,7500,2625,Online
Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Women's Street Footwear,15.0,300.0,4500,1800,Online
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Street Footwear,20.0,300.0,6000,2400,Online
Kohl's,1197831,2021-11-20,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15.0,300.0,4500,1575,Online
Kohl's,1197831,2021-02-14,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,300.0,4500,1575,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Apparel,30.0,300.0,9000,3150,Online
Foot Locker,1197831,2021-10-14,Midwest,Kansas,Wichita,Women's Apparel,30.0,300.0,9000,3150,Online
West Gear,1185732,2021-06-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.0,300.0,9000,3150,In-store
West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,300.0,7500,2625,In-store
West Gear,1185732,2021-02-10,Midwest,Indiana,Indianapolis,Women's Apparel,20.0,300.0,6000,2400,In-store
West Gear,1185732,2021-01-17,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.0,300.0,7500,3000,In-store
West Gear,1185732,2021-02-17,Midwest,Indiana,Indianapolis,Women's Street Footwear,30.0,300.0,9000,3600,In-store
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Street Footwear,30.0,300.0,9000,2700,In-store
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,45.0,300.0,1350,837,Online
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,51.0,300.0,1530,643,Online
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Street Footwear,52.0,300.0,1560,874,Online
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,60.0,299.0,1794,1076,Online
West Gear,1185732,2020-09-11,Southeast,Florida,Miami,Men's Street Footwear,60.0,299.0,1794,1076,Online
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,42.0,298.0,1252,713,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,38.0,298.0,1132,430,Outlet
West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Street Footwear,60.0,298.0,1788,751,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,39.0,297.0,1158,533,Online
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,38.0,297.0,1129,429,Outlet
Kohl's,1189833,2021-04-19,West,California,Los Angeles,Men's Street Footwear,36.0,297.0,1069,470,Outlet
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Street Footwear,68.0,297.0,2020,747,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,37.0,296.0,1095,383,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,37.0,296.0,1095,449,Outlet
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,295.0,7375,2581,In-store
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,35.0,295.0,1033,434,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,32.0,295.0,944,538,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,28.0,295.0,826,339,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,29.0,295.0,856,342,Outlet
Sports Direct,1185732,2021-07-02,Southeast,North Carolina,Charlotte,Men's Street Footwear,60.0,294.0,1764,882,Online
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,43.0,294.0,1264,531,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,47.0,293.0,1377,868,Online
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,51.0,293.0,1494,598,Online
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,48.0,290.0,1392,529,Online
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,59.0,290.0,1711,616,Online
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,62.0,290.0,1798,665,Online
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,68.0,290.0,1972,749,Online
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,68.0,290.0,1972,690,Online
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Street Footwear,55.0,290.0,1595,941,Online
Foot Locker,1185732,2021-12-05,Southeast,South Carolina,Charleston,Men's Street Footwear,67.0,290.0,1943,1166,Online
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,43.0,289.0,1243,398,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,31.0,289.0,896,331,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,33.0,289.0,954,381,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,51.0,289.0,1474,472,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,23.0,289.0,665,279,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,44.0,289.0,1272,725,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,28.0,289.0,809,340,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,36.0,289.0,1040,343,Outlet
Kohl's,1189833,2021-05-07,West,California,Los Angeles,Men's Street Footwear,38.0,289.0,1098,505,Outlet
Foot Locker,1185732,2021-07-16,South,Mississippi,Jackson,Men's Street Footwear,47.0,289.0,1358,625,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,36.0,288.0,1037,435,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,45.0,288.0,1296,441,Outlet
Kohl's,1189833,2021-05-26,West,California,Los Angeles,Men's Athletic Footwear,42.0,288.0,1210,339,Outlet
West Gear,1185732,2021-02-10,Southeast,Florida,Orlando,Men's Street Footwear,36.0,288.0,1037,487,Outlet
Foot Locker,1185732,2021-09-05,Southeast,South Carolina,Charleston,Men's Street Footwear,51.0,287.0,1464,849,Online
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,30.0,287.0,861,362,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,40.0,287.0,1148,402,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,42.0,287.0,1205,205,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,61.0,286.0,1745,698,Online
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,54.0,285.0,1539,723,Online
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,44.0,285.0,1254,602,Online
Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,46.0,285.0,1311,787,Online
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,32.0,285.0,912,383,Outlet
Kohl's,1189833,2021-04-25,West,California,Los Angeles,Men's Street Footwear,30.0,285.0,855,402,Outlet
Foot Locker,1185732,2020-09-23,Southeast,Florida,Miami,Men's Street Footwear,53.0,284.0,1505,828,Online
